병원명,기관구분,주소,지역,위도,경도,전화번호
(재)천주의성요한병원,중독관리통합지원센터,"광주광역시 북구 태봉로 32, 유동 115-1",광주,35.16033257,126.9036025,062-510-3114
(학)일송학원 한림대학교성심병원,기초정신건강복지센터,관평로170번길 22,기타,37.3916512,126.9619722,1577-5587
가득한집,정신재활시설,"서울특별시 금천구 시흥대로 133-7, 301호(시흥동)",서울,37.44599425,126.9027799,
가람슬기,정신재활시설,"서울특별시 광진구 천호대로 116길 109, 301",서울,,,1833-9306
가온길,정신재활시설,"서울특별시 노원구 공릉로 58나길 17, 2층(하계동)",서울,37.63644484,127.0735236,02-6083-0003
가온누리,정신재활시설,충청남도 아산시 번영로 169번길 6-5,충청남도,36.78589937,127.0101501,
가평군자살예방센터,자살예방센터,경기도 가평군 가평읍 가화로 155-15,경기,37.83301353,127.5108228,031-581-8881
가평꽃동네 정신요양원,정신요양시설,경기도 가평군 조종면 꽃동네길 60,경기,37.88543853,127.3505344,031-589-0210
강남구 정신건강복지센터,기초정신건강복지센터,"서울특별시 강남구 자곡로 100, 자곡문화센터 2층",서울,37.47149609,127.0944958,02-2226-0344
강릉시정신건강복지센터,기초정신건강복지센터,"강릉시 남구길 23번길24 3층,4층",기타,37.76363503,128.9032238,033-651-9668
강릉중독관리통합지원센터,중독관리통합지원센터,강원도 강릉시 용지로144 리치빌딩 4층,강원,37.76168779,128.9025033,033-653-9667
강북구 정신건강복지센터,기초정신건강복지센터,서울특별시 강북구 삼양로19길 154 삼각산분소 3층,서울,37.61704648,127.0156399,02-985-0222
강서그룹홈,정신재활시설,서울특별시 강서구 초록마을로16길 20,서울,37.54118645,126.8495435,02-2699-7328
강서양지,정신재활시설,"서울특별시 강서구 등촌로35 가길 26, 301호",서울,37.53743544,126.8622656,
강원대학교병원,광역정신건강복지센터,강원도 춘천시 춘천로 306-5,강원,37.88132791,127.7471783,033-258-2000
강원대학교병원,기초정신건강복지센터,강원도 춘천시 효제길 35,강원,37.87133505,127.7372202,033-258-2000
강원도자살예방센터,자살예방센터,강원도 춘천시 춘천로 306-5 유칭프라자 3층,강원,37.88132791,127.7471783,033-241-4256
강진군 정신건강복지센터,기초정신건강복지센터,전라남도 강진군 강진읍 목리길11,전라남도,34.63833623,126.77571,061-430-3570
강화정신요양원,정신요양시설,인천광역시 강화군 선원면 고식이길 20번길 19-3,인천,37.72862901,126.4938392,032-933-4578
거제시 정신건강복지센터,기초정신건강복지센터,경상남도 거제시 수양로 506,경상남도,34.89193089,128.6366622,055-639-6119
거창군 정신건강복지센터,기초정신건강복지센터,경상남도 거창군 거창읍 거함대로 3079,경상남도,35.68106359,127.8984935,055-940-8384
건국대학교 충주병원,기초정신건강복지센터,충청북도 충주시 국원대로78 2층 ,충청북도,36.97844043,127.9285084,043-840-8200
건양대학교병원,기초정신건강복지센터,대전광역시 서구 만년로 74 서구보건소 6층,대전,36.36708849,127.3810998,1577-3330
경기다사모,정신재활시설,경기도 수원시 팔달구 매산로89,경기,37.27049849,127.0106742,031-256-2258
경기도 기초정신건강복지센터,기초정신건강복지센터,경기도 광주시 파발로 194번지,경기,37.41643091,127.2507218,NOT_FOUND
경기도의료원 의정부병원,기초정신건강복지센터,경기도 의정부시 범골로 131 의정부시보건소 3층,경기,37.73615933,127.0395595,031-828-5000
경기도의료원 의정부병원,중독관리통합지원센터,"경기도 의정부시 의정로 52번길 18, 삼보빌딩 3층",경기,37.73725504,127.0360749,031-828-5000
경기도자살예방센터,자살예방센터,경기도 수원시 장안구 수성로 245번길 69 (정자동) 경기도의료원 2층,경기,37.2918595,126.9963807,031-212-0437
경농의료재단 양산병원,기초정신건강복지센터,"경상남도 양산시 중앙로 7-32, 양산시보건복지센터 4층 양산시정신건강복지센터",경상남도,35.33215714,129.0379947,055-379-0202
경북대학교 간호과학연구소,기초정신건강복지센터,경상북도 구미시 선산대로 111,경상북도,36.13993514,128.3459537,NOT_FOUND
경북대학교 간호대학,기초정신건강복지센터,경상북도 영천시 조양공원길 21,경상북도,35.96661477,128.9322976,053-420-4925
경북대학교병원,기초정신건강복지센터,"대구광역시 중구 태평로 45, 중구보건소 3층",대구,35.8778155,128.5833354,1533-8888
경산복지재단,기초정신건강복지센터,경기도 화성시 향남로 470 화성종합경기타운 실내체육관 내 1층,경기,37.13747112,126.924665,
경산복지재단,중독관리통합지원센터,경기도 화성시 정남면 서봉로 998 정남면보건지소 내 1층,경기,37.16037358,126.9710694,
경산세명병원,기초정신건강복지센터,경상북도 경산시 남매로 158,경상북도,35.82511247,128.7432823,053-819-8800
경상대학교병원,중독관리통합지원센터,경상남도 진주시 진주대로 816번길 20 2층,경상남도,35.17415094,128.0958778,055-750-8000
경성대학교 산학협력단,기초정신건강복지센터,부산광역시 강서구 공항로 811번길 10 강서브라이트센터 내 보건소 3층,부산,35.18019056,128.9574082,051-663-5053
경주정신건강상담센터,정신재활시설,"경상북도 경주시 북성로 124, 2층",경상북도,35.8470303,129.2152646,054-741-8805
경희사회복귀시설,정신재활시설,"광주광역시 북구 연양로 105번길 14, 스카이빌 301, 303, 304호",광주,35.20755092,126.8793875,NOT_FOUND
경희의료원,기초정신건강복지센터,서울특별시 동대문구 홍릉로81 2층,서울,37.58751632,127.0427076,02-958-8114
계룡시 정신건강복지센터,기초정신건강복지센터,충청남도 계룡시 장안로 54(금암동 10-5),충청남도,36.2730574,127.2500264,042-840-3572
계요병원,기초정신건강복지센터,경기도 의왕시 오봉로34 의왕시보건소별관,경기,37.34378769,126.9719938,031-455-3333
고담의료재단 마더스병원,광역정신건강복지센터,"울산광역시 남구 화합로 105, 로하스빌딩 2층",울산,35.53409029,129.3406331,052-270-7000
고담의료재단 마더스병원,중독관리통합지원센터,"울산광역시 남구 화합로 105 (달동, 로하스빌딩 5층)",울산,35.53409029,129.3406331,052-270-7000
고담의료재단 마더스병원,중독관리통합지원센터,"울산광역시 중구 학성로 84-1, 3층",울산,35.55489722,129.3201212,052-270-7000
고려대학교 산학협력단,기초정신건강복지센터,경기도 안산시 단원구 화랑로 387,경기,37.3225569,126.8327135,02-2286-1097
고려대학교 산학협력단,중독관리통합지원센터,"경기도 안산시 단원구 화랑로 387, 2층",경기,37.3225569,126.8327135,02-2286-1097
고령군 정신건강복지센터,기초정신건강복지센터,경상북도 고령군 대가야읍 왕릉로 56-8,경상북도,35.72487188,128.2645148,NOT_FOUND
고성군 정신건강복지센터,기초정신건강복지센터,경상남도 고성군 남포로79번길 103-3,경상남도,34.96957375,128.3154029,055-670-4057
고성군정신건강복지센터,기초정신건강복지센터,강원 고성군 간성읍 수성로 30 보건소 2층,강원,38.37767486,128.4720941,055-670-4057
고성정신요양원,정신요양시설,경상남도 고성군 마암면 남해안대로3268-92,경상남도,35.02246172,128.3531307,055-672-6659
고신대학교 의과대학,기초정신건강복지센터,부산광역시 영도구 동삼북로2 동삼1주공아파트 상가 209호,부산,35.08277479,129.0667717,051-990-6600
고운누리,정신재활시설,"대전광역시 서구 도마로25번길 54, 101호(도마동)",대전,36.32479285,127.3732599,031-753-2490
고운누리,정신재활시설,경기도 성남시 수정구 산성대로 193 금성빌딩 5층,경기,37.43731458,127.1395912,031-753-2490
고정선신경 정신의학과,기초정신건강복지센터,인천광역시 동구 인중로 377 2층,인천,37.48307778,126.6177135,NOT_FOUND
고정선정신건강의학과의원,중독관리통합지원센터,인천광역시 동구 인중로 377 2층 ,인천,37.48307778,126.6177135,032-777-1182
고흥군 정신건강복지센터,기초정신건강복지센터,전라남도 고흥군 등암3길 5,전라남도,34.5919855,127.2692469,NOT_FOUND
공감플러스,정신재활시설,서울특별시 강서구 화곡로61길 130 남영빌딩 3층,서울,37.55864245,126.8452761,02-3663-2035
공생하우스,정신재활시설,제주특별자치도 제주시 아봉로449-10 ,제주,33.47147459,126.5821288,
공주벧엘정신요양원,정신요양시설,충청남도 공주시 백제문화로 2015-20,충청남도,36.44927898,127.0991321,041-855-6342
관악구 정신건강복지센터,기초정신건강복지센터,"서울특별시 관악구 관악로 145, 3동 4층",서울,37.47821067,126.9515012,02-879-4911
관악좋은집,정신재활시설,"서울특별시 관악구 법원단지32길 5, 201호(신림동)",서울,37.47569155,126.9246944,02-587-1717
광명시자살예방센터,자살예방센터,경기도 광명시 오리로 613 광명시보건소 1층 11호,경기,37.45541099,126.8781639,02-2618-8255
광양시 정신건강복지센터,기초정신건강복지센터,전라남도 광양시 광양읍 인덕로 1100,전라남도,34.98097674,127.583623,061-797-3777
광주광역시 기초정신건강복지센터,기초정신건강복지센터,광주광역시 서구 운천로 172번길 32(상무금호보건지소 정신보건팀),광주,35.14818147,126.8601043,NOT_FOUND
광주광역자살예방센터,자살예방센터,"광주광역시 동구 제봉로 27, 5층",광주,35.14114249,126.9211498,1577-0199
광주새생명보건센터,정신재활시설,광주광역시 동구 중흥로 197,광주,35.1608203,126.9153135,
광주정신재활센터,정신재활시설,광주광역시 북구 서하로 240-18 2층,광주,35.18637127,126.907207,062-512-7039
광주제일병원,중독관리통합지원센터,광주광역시 남구 독립로 25-1,광주,35.13598345,126.9013345,062-676-6700
광주해피라이프,정신재활시설,광주광역시 서구 화운로 172,광주,35.15421893,126.8770344,
광진 오사랑의집,정신재활시설,"서울특별시 광진구 긴고랑로 36길 57-11, 301호",서울,37.55740584,127.0912295,NOT_FOUND
광진구정신건강복지센터,기초정신건강복지센터,서울특별시 광진구 긴고랑로 110 중곡종합건강센터 4층,서울,37.55933773,127.0870912,02-450-1895
괴산군 정신건강복지센터,기초정신건강복지센터,충청북도 괴산군 괴산읍 읍내로2길 27-10,충청북도,36.80690304,127.7909356,043-832-0330
구례군 정신건강복지센터,기초정신건강복지센터,전라남도 구례군 구례읍 동편제길30 ,전라남도,35.21596948,127.4617976,061-780-2047
구로구 정신건강복지센터,기초정신건강복지센터,서울특별시 구로구 새말로 60,서울,37.50322479,126.8866391,02-861-2284
구로구공동희망학교,정신재활시설,"서울특별시 구로구 구로중앙로18길 50, 2층",서울,37.49576554,126.8920199,02-6739-3500
구미시 정신건강복지센터,기초정신건강복지센터,경상북도 구미시 선산읍 선주로 121,경상북도,36.24417904,128.2999491,054-444-0199
국립공주병원,광역정신건강복지센터,충청남도 홍성군 홍북면 충청남도대로 21,충청남도,,,041-850-5700
국립공주병원,기초정신건강복지센터,충청남도 공주시 봉황로 123 1층,충청남도,36.45711741,127.1206564,041-850-5700
국립나주병원,기초정신건강복지센터,"광주광역시 광산구 상무대로 239-1, 3층",광주,35.14062257,126.793246,061-330-4114
국립나주병원,기초정신건강복지센터,"광주광역시 남구 봉선로 1, 5층",광주,35.13290647,126.9024479,061-330-4114
국립나주병원,광역정신건강복지센터,전라남도 나주시 산포면 세남로 1328-31,전라남도,35.0095084,126.8255988,061-330-4114
국립나주병원,기초정신건강복지센터,전라남도 곡성군 곡성읍 곡성로,전라남도,35.25579172,127.2683747,061-330-4114
국립나주병원,기초정신건강복지센터,전라남도 나주시 건재로 211 1층,전라남도,35.05105508,126.7237507,061-330-4114
국립나주병원,기초정신건강복지센터,전라남도 장흥군 장흥읍 동교1길 13,전라남도,34.67705335,126.9069323,061-330-4114
국립정신건강센터,중독관리통합지원센터,서울특별시 강북구 삼양로 335-1 2층,서울,37.63341432,127.0171553,02-2204-0114
국립중앙의료원,기초정신건강복지센터,"서울특별시 강동구 성내로 45, 1층",서울,37.52954199,127.1255855,1588-1775
국립춘천병원,기초정신건강복지센터,강원도 홍천군 홍천읍 신장대로5 홍천군건강증진센터 2층,강원,37.69022187,127.8772937,033-260-3000
국민건강보험공단 일산병원,기초정신건강복지센터,경기도 고양시 덕양구 고양시청로 13-6 현대빌딩 2층,경기,37.65696724,126.8321421,1577-0013
군산의료원,중독관리통합지원센터,전라북도 군산시 백마길16,전라북도,35.94480785,126.809879,063-472-5000
귀일정신요양원,정신요양시설,광주광역시 남구 용대로 74번길 21,광주,35.12202489,126.9215041,062-652-0576
그라따,정신재활시설,서울특별시 도봉구 도봉로 181 가길6 1층,서울,37.68374976,127.045097,NOT_FOUND
그루터기,정신재활시설,제주특별자치도 제주시 원당북로65 ,제주,33.53302128,126.6001416,
그리스도요양원,정신요양시설,부산광역시 서구 옥천로 130번길 40,부산,35.09751235,129.0136825,051-257-0103
그린나래,정신재활시설,경상북도 상주시 만산8길 61,경상북도,36.44385204,128.1506488,051-744-8160
그린홈,정신재활시설,"서울특별시 중랑구 동일로 92길 39-21, 2층",서울,37.58438086,127.0822227,031-239-5777
